Senttype	Hypo	Majus	Left	Right	Mod	ModBin	Isolated	Target
Discard	0	0	Comma	Colon	0	0	2	Obwohl
Discard	0	0	Paro	Colon	0	0	2	Obwohl
Discard	0	1	End	Colon	0	0	2	Obwohl
Discard	0	1	End	Colon	0	0	2	Obwohl
Discard	0	2	Emo	Comma	0	0	2	Obwohl
Discard	0	0	Comma	Comma	0	0	2	Obwohl
Discard	0	0	Three	Comma	0	0	2	Obwohl
Discard	0	0	Three	Comma	0	0	2	Obwohl
Discard	0	0	Paro	Comma	0	0	2	Obwohl
Discard	0	0	Paro	Comma	0	0	2	Obwohl
Discard	0	1	Emo	Comma	0	0	2	Obwohl
Discard	1	1	End	Comma	0	0	2	Obwohl
Discard	0	1	End	Comma	0	0	2	Obwohl
Discard	0	1	End	Comma	0	0	2	Obwohl
Discard	0	1	End	Comma	0	0	2	Obwohl
Discard	0	1	Three	Comma	0	0	2	Obwohl
Discard	0	1	Paro	Comma	0	0	2	Obwohl
Discard	0	1	End	End	0	0	2	Obwohl
Discard	0	1	Quot	Quot	0	0	2	Obwohl
Discard	0	0	Word	Three	0	0	2	Obwohl
Discard	0	0	Three	Three	0	0	2	Obwohl
Discard	0	0	Three	Three	0	0	2	Obwohl
Discard	0	0	Three	Three	0	0	2	Obwohl
Discard	0	0	Three	Three	0	0	2	Obwohl
Discard	0	0	Paro	Three	0	0	2	Obwohl
Discard	0	1	Emo	Three	0	0	2	Obwohl
Discard	0	1	End	Three	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Word	Word	0	0	2	Obwohl
Discard	0	0	End	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	0	Hyphen	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	1	Three	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	0	Word	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	1	End	Word	Und	1	2	Obwohl
Discard	0	0	Three	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Word	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Three	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	0	Hyphen	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Word	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	0	Paro	Word	0	0	2	Obwohl
Discard	0	1	End	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
Discard	0	0	Comma	Word	0	0	2	Obwohl
